symbol,name,description,description_yahoo,description_etfcom,description_morningstar
AVIE,Avantis Inflation Focused Equity ETF,"The fund invests primarily in a diverse group of U.S. companies in market sectors and industry groups the portfolio managers expect to appreciate in value if the U.S. inflation rate rises or is believed to be rising. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in companies of all market capitalizations.","The fund invests primarily in a diverse group of U.S. companies in market sectors and industry groups the portfolio managers expect to appreciate in value if the U.S. inflation rate rises or is believed to be rising. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in companies of all market capitalizations.","AVIE focuses on sectors and industries that positively correlate with the US inflation rate. The fund includes US companies of all market capitalizations classified under market sectors and industry groups that historically have had, or are expected to have high performance in periods of inflation. Securities within the identified industries are evaluated based on size, profitability, and valuation metrics, including shares outstanding, book value, cash flows from operations, and accruals. Holdings are initially weighted by market-cap. Then, the fund overweights securities with smaller market capitalizations, higher profitability, and lower valuation. As an actively managed fund, the adviser has the discretion to make necessary investment decisions to meet its objectives.","The investment seeks long-term capital appreciation. The fund invests primarily in a diverse group of U.S. companies in market sectors and industry groups the portfolio managers expect to appreciate in value if the U.S. inflation rate rises or is believed to be rising. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in companies of all market capitalizations."
RNRG,Global X Renewable Energy Producers ETF,"The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to publicly traded companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels (including publicly traded companies that are formed to own operating assets that produce defined cash flows. The fund is non-diversified.","The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to publicly traded companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels (including publicly traded companies that are formed to own operating assets that produce defined cash flows. The fund is non-diversified.","RNRG tracks a market-cap-weighted index of global renewable energy companies including YieldCos.

RNRG offers exposure to companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels including YieldCos a holding company for renewable energy projects that have been spun off by a larger energy utility. The portfolio is market-cap-weighted, with a cap of 6% on individual names. While YieldCos are sometimes marketed as MLPs for renewables, note that these firms use a traditional C-corp structure with no inherent tax benefits. Dividends from the fund are taxable. The Fund name and investment strategies changed effective November 19, 2018. The fund originally tracked the Indxx Global YieldCo Index through November 16, 2018 and the Indxx YieldCo & Renewable Energy Income Index thereafter. On Feb. 1, 2021, the fund name, ticker (YLCO) and index changed, dropping its focus on YieldCos while still including them in the fund.","The investment seeks to track, before fees and expenses, the price and yield performance of the Indxx Renewable Energy Producers Index. The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to publicly traded companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels (including publicly traded companies that are formed to own operating assets that produce defined cash flows. The fund is non-diversified."
MAKX,ProShares S&P Kensho Smart Factories ETF,"The fund invests in securities that ProShare Advisors believes, in combination, should track the performance of the index. The index selects companies focused on building the technology empowering the digitalization of manufacturing activities. The fund will invest in all of the component securities of the index in approximately the same proportion as the index. It is non-diversified.","The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index is designed to measure the performance of U.S.-listed companies focused on building technologies or products that enable the digitalization of manufacturing activities The index includes U.S. and non-U.S. companies. Under normal circumstances, it will invest at least 80% of its total assets in components of the index or in instruments with similar economic characteristics. It is non-diversified.","MAKX is passively managed to target US-listed companies whose technologies empower digitalized factories to improve manufacturing processes. Such products and services support (i) connected and integrated digitalization, (ii) environmental sensing/ monitoring, advanced process control, predictive maintenance and equipment health monitoring, (iii) industrial machine and 3D vision, and (iv) demand response systems. To identify qualified companies, the index uses an automated scan on recent company filings. Each company is either classified as core or non-core, depending on the level of thematic involvement. Within each bucket, stocks are initially weighted equally, and then pure plays are overweighted. Weights are further adjusted for liquidity and diversification. The index is reconstituted annually and rebalanced semi-annually.","The investment seeks results, before fees and expenses, that track the performance of the S&P Kensho Smart Factories Index. The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index is designed to measure the performance of U.S.-listed companies focused on building technologies or products that enable the digitalization of manufacturing activities The index includes U.S. and non-U.S. companies. Under normal circumstances, it will invest at least 80% of its total assets in components of the index or in instruments with similar economic characteristics. It is non-diversified."
ESNG,Direxion MSCI USA ESG - Leaders vs. Laggards ETF,"The investment seeks investment results, before fees and expenses, that track the MSCI USA ESG Universal Top - Bottom 150/50 Return Spread Index. The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in securities that comprise the Long Component. The index consists of a portfolio that has 150% long exposure to the MSCI USA ESG Universal Top 100 5% Issuer Capped Index (the ""Long Component"") and 50% short (or inverse) exposure to the MSCI USA ESG Universal Bottom 100 5% Issuer Capped Index (the ""Short Component""). It is non-diversified.","The investment seeks investment results, before fees and expenses, that track the MSCI USA ESG Universal Top - Bottom 150/50 Return Spread Index.
 The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in securities that comprise the Long Component. The index consists of a portfolio that has 150% long exposure to the MSCI USA ESG Universal Top 100 5% Issuer Capped Index (the ""Long Component"") and 50% short (or inverse) exposure to the MSCI USA ESG Universal Bottom 100 5% Issuer Capped Index (the ""Short Component""). It is non-diversified.",,
QRMI,Global X NASDAQ 100 Risk Managed Income ETF,"The fund invests at least 80% of its total assets in the securities of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index (""underlying index""). The underlying index measures the performance of a risk managed income strategy that holds the underlying stocks of the NASDAQ 100® Index and applies an options collar strategy (i.e., a mix of short (sold) call options and long (purchased) put options) on the NASDAQ 100® Index. The fund is non-diversified.","The fund invests at least 80% of its total assets in the securities of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index (""underlying index""). The underlying index measures the performance of a risk managed income strategy that holds the underlying stocks of the NASDAQ 100® Index and applies an options collar strategy (i.e., a mix of short (sold) call options and long (purchased) put options) on the NASDAQ 100® Index. The fund is non-diversified.","QRMI tracks an index that holds NASDAQ 100 stocks while employing an options collar strategy. The fund buys 5% OTM put options and sells ATM covered call options on a monthly basis.

QRMI holds the constituents of the NASDAQ 100 Index while employing an options collar strategy which involves buying 5% out-of-the-money put options and selling at-the-money covered call options in an amount that corresponds to the value of the portfolio. The funds exchange-traded put option positions are purchased on a monthly basis and will be held until their one-month maturity. At expiration, these options are either exercised or settled in cash. The options collar strategy seeks to generate a net-credit, meaning that the premium received from the sale of the call options will be greater than the premium paid when buying the put options. Investors should note that selling at-the-money call options caps the funds upside potential. In addition, buying and selling shares other than the monthly purchase and expiration dates of the options may result in different returns and buffer protection.","The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index. The fund invests at least 80% of its total assets in the securities of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index (""underlying index""). The underlying index measures the performance of a risk managed income strategy that holds the underlying stocks of the NASDAQ 100® Index and applies an options collar strategy (i.e., a mix of short (sold) call options and long (purchased) put options) on the NASDAQ 100® Index. The fund is non-diversified."
MOTE,VanEck Morningstar ESG Moat ETF,"The fund normally invests at least 80% of its total assets in securities that comprise the fund’s benchmark index. The US Sustainability Moat Focus Index provides exposure to attractively valued companies with long-term competitive advantages while excluding those companies with high environmental, social and governance (”ESG”) risks. The fund is non-diversified.","The fund normally invests at least 80% of its total assets in securities that comprise the fund’s benchmark index. The Morningstar US Sustainability Moat Focus Index provides exposure to attractively valued companies with long-term competitive advantages while excluding those companies with high environmental, social and governance (”ESG”) risks. The fund is non-diversified.","MOTE tracks an equal-weighted index of US stocks perceived to have high fair value, sustainable competitive advantage, positive momentum, and excellent ESG ratings.

MOTE is a passively managed fund that tracks an index that provides exposure to US stocks of any market size that are deemed as wide moat companies (attractively priced stocks that have sustainable competitive advantages) with low ESG risk. The fund first selects wide moat companies using quantitative and qualitative factors. Companies with severe or high ESG Risk Scores, as well as those involved in products viewed as controversial, are screened out. Eligible securities are then ranked by momentum to only include the top 80%. Each sector is capped at 10%. The index is equally weighted, divided into two equal sub-portfolios, that follows a staggered rebalance. Half of the portfolio is rebalanced in June and the other in December.","The investment seeks to track as closely as possible, before fees and expenses, the price and yield performance of the Morningstar® US Sustainability Moat Focus IndexSM. The fund normally invests at least 80% of its total assets in securities that comprise the fund’s benchmark index. The Morningstar US Sustainability Moat Focus Index provides exposure to attractively valued companies with long-term competitive advantages while excluding those companies with high environmental, social and governance (”ESG”) risks. The fund is non-diversified."
OWNS,Impact Shares Affordable Housing MBS ETF,"Under normal circumstances, the fund will invest at least 80% of its net assets in mortgage-backed securities backed by pools of mortgage loans that the fund’s Sub-Adviser believes were made to minority families, low-income families, and/or families that live in persistent poverty areas. It may also invest in mortgage-backed securities backed by pools of loans sourced from non-traditional originators including Community Development Financial Institutions (CDFIs) and minority-owned banks. The fund is non-diversified.","Under normal circumstances, the fund will invest at least 80% of its net assets in mortgage-backed securities backed by pools of mortgage loans that the fund’s Sub-Adviser believes were made to minority families, low-income families, and/or families that live in persistent poverty areas. It may also invest in mortgage-backed securities backed by pools of loans sourced from non-traditional originators including Community Development Financial Institutions (CDFIs) and minority-owned banks. The fund is non-diversified.","OWNS is the first fund to focus on affordable housing loans for underserved US communities. Using a proprietary algorithm, the fund adviser screens mortgage origination tapes that provide information (address, income, debt levels of borrowers and other demographic details) necessary to identify loans that are made to low- and moderate-income earners and minorities, particularly in: a) racially or ethnically concentrated areas of poverty (R/ECAP), b) persistent poverty counties (PPCs), and c) majority-minority census tracts. The fund primarily invests in agency MBS issued/guaranteed by Ginnie Mae, Fannie Mae, and Freddie Mac, though the funds active mandate means that it may also include non-agency MBS specifically sourced from Community Development Financial Institutions (CDFIs) and minority-owned banks. On March 18, 2024, the fund was reorganized and became successor to Impact Shares Affordable Housing MBS ETF.","The investment seeks to generate current income. Under normal circumstances, the fund will invest at least 80% of its net assets in mortgage-backed securities backed by pools of mortgage loans that the fund’s Sub‑Adviser believes were made to minority families, low‑income families, and/or families that live in persistent poverty areas. It may also invest in mortgage-backed securities backed by pools of loans sourced from non‑traditional originators including Community Development Financial Institutions (CDFIs) and minority-owned banks. The fund is non-diversified."
ONG,Direxion Daily Oil Services Bull 2X Shares,"The index includes companies that have common stocks ordepositary receipts listed on a U.S. stock exchange and that provide services to the oil industry. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. It is non-diversified.","The index includes companies that have common stocks or depositary receipts listed on a U.S. stock exchange and that provide services to the oil industry. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index which provide returns consistent with the objective. It is non-diversified.","The security was delisted. The last day of trading on an exchange is April 21, 2023. ONG is a bullish one-day bet on the oil services industry. It attempts to return 2x the daily performance of an index comprising the top 25 largest and most liquid US-listed oil services companies. The index consists of stocks and depositary receipts of domestic and foreign companies that derive significant revenue from oil services to the upstream oil sector, including those involved in oil equipment, oil services, and oil drilling. The index takes the largest 50 stocks from the eligible universe, and then ranks them by both market capitalization and 3-month average daily trading volume. The resulting top 25 stocks are included in the portfolio and weighted by market capitalization. As a geared product, ONG is only designed as a short-term trading tool. Long-term returns could materially differ from those of the index due to daily compounding.",
IVDG,Invesco Focused Discovery Growth ETF,"The fund seeks to achieve its investment objective by investing primarily in exchange-traded common stocks of U.S. companies that Invesco Advisers, Inc. (the ""Sub-Adviser"")expects to have above average growth rates. It seeks to invest in newer companies or in more established companies that are in the early growth phase of their business cycle, which is typically marked by above average growth rates. The fund may invest in securities of issuers of all capitalization sizes; however, it will primarily hold securities of mid-capitalization issuers. It is non-diversified.","The fund seeks to achieve its investment objective by investing primarily in exchange-traded common stocks of U.S. companies that Invesco Advisers, Inc. (the ""Sub-Adviser"")expects to have above average growth rates. It seeks to invest in newer companies or in more established companies that are in the early growth phase of their business cycle, which is typically marked by above average growth rates. The fund may invest in securities of issuers of all capitalization sizes; however, it will primarily hold securities of mid-capitalization issuers. It is non-diversified.","The security was delisted. The last day of trading on an exchange is March 30, 2023. IVDG is one of Invescos first ETFs to launch an actively managed, non-transparent product. Portfolio selection uses fundamental, bottom-up analysis on global companies with above average growth rates, typically newer companies and established companies in the early growth phase of their business cycle. IVDG has a non-transparent structure, unlike other ETFs it publishes its holdings quarterly with a 30-day lag. A Tracking Basket Structure is in place, which acts as a proxy portfolio that includes: some of the funds holdings from recent disclosure, significant portion of the funds holdings, and cash. This is designed to track IVDGs daily performance, facilitate arbitrage opportunities and help mitigate the risk of front-running. However, investors should note that its non-transparent structure could result in wider spreads.",
KTEC,KraneShares Hang Seng TECH Index ETF,"Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is composed of the equity securities of the 30 technology companies with the largest free float market capitalization that are listed on the Hong Kong Stock Exchange with significant exposure to internet, fintech, cloud computing, e-commerce and digital technology. The fund is non-diversified.","Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is composed of the equity securities of the 30 technology companies with the largest free float market capitalization that are listed on the Hong Kong Stock Exchange with significant exposure to internet, fintech, cloud computing, e-commerce and digital technology. The fund is non-diversified.","KTEC tracks a market-cap-weighted index of the 30 largest Chinese technology companies.

KTEC is passively managed to provide exposure to the 30 largest Chinese technology companies listed in Hong Kong. The fund selects companies headquartered and operating primarily in Greater China (Hong Kong, Macau, and Mainland China). Companies should be in the industrials, consumer discretionary, health care, financials, or information technology sectors. These companies should also display strong research and development investment and high revenue growth under the following themes: internet, fintech, cloud computing, e-commerce, and digital technology. KTEC primarily invests in H-shares, but also includes the other major share classes like A, B, and N-shares, red chips, P and S-chips. The index is market-cap-weighted with an 8% cap limit per individual security. Holdings are rebalanced quarterly and reconstituted at least semi-annually.","The investment seeks to provide investment results that, track the price and yield performance of the Hang Seng TECH Index. Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is composed of the equity securities of the 30 technology companies with the largest free float market capitalization that are listed on the Hong Kong Stock Exchange with significant exposure to internet, fintech, cloud computing, e-commerce and digital technology. The fund is non-diversified."
DOL,WisdomTree International LargeCap Dividend Fund,The fund normally invests at least 95% of its total assets (exclusive of collateral held from securities lending) in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of the large-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The fund is non-diversified.,The fund normally invests at least 95% of its total assets (exclusive of collateral held from securities lending) in constituent securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such constituent securities. The index is a fundamentally weighted index that is comprised of the large-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The fund is non-diversified.,"DOL tracks a dividend-weighted index that measures the performance of dividend-paying large-cap companies outside Canada and the US.

DOL delivers a broad and high-yielding basket of international (ex-US and Canada) stocks, with the aim to prioritize growth potential and income focus. The fund constructs its large-cap universe by taking the 300 largest companies from the WisdomTree International Equity Index. It then selects and weights stocks by dividends, leading to small sector biases in its portfolio and making slight departures from a purely market-like exposure. Additionally, the fund applies a composite risk factor screen based on financial quality metrics and momentum factor in order to eliminate companies that have potential higher risk. DOL caps both country and sector weights at 25%. The index is reconstituted and rebalanced on an annual basis.","The investment seeks to track the price and yield performance, before fees and expenses, of the WisdomTree International LargeCap Dividend Index. The fund normally invests at least 95% of its total assets (exclusive of collateral held from securities lending) in constituent securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such constituent securities. The index is a fundamentally weighted index that is comprised of the large-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The fund is non-diversified."
ITB,iShares U.S. Home Construction ETF,"The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. It is non-diversified.","The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. It is non-diversified.","ITB provides investors with a traditional market-cap selection approach to the US homebuilding industry, with a capped weighting methodology to ensure diversification. The resulting basket of stocks isn't quite vanilla though: ITB trades purity for breadth. Its holdings extend past the confines of our narrow benchmark and into related industries that encompass: manufacturers, sellers, and distributors of home furnishings, homebuilding, housewares, specialty items, and materials used in construction and refurbishing. At times, this shows up as a lower beta play on the space. Still, ITB's portfolio can at times offer chunky positions in leading homebuilders. The underlying index will rebalance quarterly.","The investment seeks to track the investment results of the Dow Jones U.S. Select Home Construction Index composed of U.S. equities in the home construction sector. The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. It is non-diversified."
XDAT,Franklin Exponential Data ETF,"Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to the fund's investment theme of exponential data. It invests predominantly in common stock. In pursuing the fund's investment theme, the investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States, including those in developing or emerging markets. The fund is non-diversified.","Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to the fund's investment theme of exponential data. It invests predominantly in common stock. In pursuing the fund's investment theme, the investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States, including those in developing or emerging markets. The fund is non-diversified.","XDAT is actively-managed to invest in global companies believed to benefit from or facilitate Big Data and its applications such as AI, augmented and virtual reality, software-as-a-service, and personalized advertising and healthcare.

XDAT provides exposure to companies that may benefit from exponential data or the use of large data sets and/or the growth of data, including systems, services, hardware, software and other digital and physical infrastructure related to data creation, amplification, collection, cleaning, recording, analysis, processing, transmission, delivery, storage, encryption and security. These may include firms that either monetize data or have the potential in the future to monetize data, such as those offering cloud computing technologies and services, data supporting infrastructure, data analytics solutions, artificial intelligence, machine learning, and augmented and virtual reality. In constructing the portfolio the investment managers use a proprietary fundamental, bottom-up research and analysis which leverages insights from diverse sources. The Fund may invest across economic sectors but it leans heavily towards information technology related industries.","The investment seeks capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to the fund's investment theme of exponential data. It invests predominantly in common stock. In pursuing the fund's investment theme, the investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States, including those in developing or emerging markets. The fund is non-diversified."
PABD,iShares Paris-Aligned Climate MSCI World ex USA ETF,"The index is composed of large- and mid-cap developed market equities, excluding the U.S., that are selected and weighted so that, in the aggregate, the portfolio is compatible with the objectives of the Paris Agreement by following a decarbonization trajectory, reducing exposure to climate-related transition and physical risks and increasing exposure to companies favorably positioned for the transition to a low-carbon economy. The fund generally will invest at least 90% of its assets in the component securities of its index.","The index is composed of large- and mid-cap developed market equities, excluding the U.S., that are selected and weighted so that, in the aggregate, the portfolio is compatible with the objectives of the Paris Agreement by following a decarbonization trajectory, reducing exposure to climate-related transition and physical risks and increasing exposure to companies favorably positioned for the transition to a low-carbon economy. The fund generally will invest at least 90% of its assets in the component securities of its index.","PABD tracks a tier-weighted index of large- and mid-cap stocks in developed markets excluding the US. The fund utilizes ESG criteria aligned with the Paris Climate Agreement when selecting and weighing securities.

PABD employs a climate-conscious strategy, focusing on large- and mid-cap stocks in developed markets excluding the US. The fund selects companies positioned favorably for the transition to a low-carbon economy. It begins by excluding stocks from the MSCI ex USA Index involved in civilian firearms, controversial weapons, nuclear weapons, oil and gas, oil sands, power generation, thermal coal mining, and tobacco. Remaining companies are screened based on categorical and threshold-based criteria across five ESG impact categories: environment, human rights and communities, labor rights and supply chain, customers, and governance. Additional constraints include lowering carbon intensity, minimizing physical risk exposure, and boosting green revenue. The fund prioritizes securities based on their potential to decrease greenhouse gas intensity. An optimizer is used to keep sector exposure within +/- 5% of the parent index, excluding the energy sector. The index is rebalanced semi-annually.","The investment seeks to track the investment results of MSCI World ex USA Climate Paris Aligned Benchmark Extended Select Index. The index is composed of large- and mid-cap developed market equities, excluding the U.S., that are selected and weighted so that, in the aggregate, the portfolio is compatible with the objectives of the Paris Agreement by following a decarbonization trajectory, reducing exposure to climate-related transition and physical risks and increasing exposure to companies favorably positioned for the transition to a low-carbon economy. The fund generally will invest at least 90% of its assets in the component securities of its index."
LDEM,iShares ESG MSCI EM Leaders ETF,"The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is a free float-adjusted market capitalization-weighted index designed to reflect the equity performance of emerging market companies with favorable environmental, social and governance (""ESG"") characteristics. It is non-diversified.","The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is a free float-adjusted market capitalization-weighted index designed to reflect the equity performance of emerging market companies with favorable environmental, social and governance (""ESG"") characteristics.","LDEM tracks a tier-weighted index composed of large- and mid-cap emerging-market stocks with high environmental, social, and governance traits relative to their sector peers.

LDEM provides broad exposure to large- and mid-cap emerging-market firms with favorable ESG characteristics. Selection for the portfolio begins with the components of the MSCI Emerging Markets Index. The fund then excludes securities of companies involved in the business of alcohol, tobacco, gambling, nuclear power and weapons, producers and major retailers of civilian firearms, based on revenue thresholds. After this initial screening, the index uses the following process to select and rank securities until it covers 50% of the market cap in each sector: 1) eligible securities in the top 35% of market cap, 2) highly-rated securities in the top 50%, 3) current holdings in the top 65%, 4) other eligible securities. At each step, higher rated firms are selected first. Holdings are market-cap-weighted within their respective sector.","The investment seeks to track the investment results of the MSCI EM Extended ESG Leaders 5% Issuer Capped Index. The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is a free float-adjusted market capitalization-weighted index designed to reflect the equity performance of emerging market companies with favorable environmental, social and governance (""ESG"") characteristics."
DMAT,Global X Disruptive Materials ETF,"The fund invests at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index. The index is designed to provide exposure to companies that produce metals and other raw or composite materials that have been identified as being essential to disruptive technologies such as lithium batteries, solar panels, wind turbines, fuel cells, robotics, and 3D printers. It is non-diversified.","The fund invests at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index. The index is designed to provide exposure to companies that produce metals and other raw or composite materials that have been identified as being essential to disruptive technologies such as lithium batteries, solar panels, wind turbines, fuel cells, robotics, and 3D printers. It is non-diversified.","DMAT tracks an index of global stocks that produce metals and other raw materials essential to the expansion of disruptive technologies. Disruptive Materials Companies derive at least 50% of their revenues from the exploration, mining, production and/or enhancement of one or more of 10 materials categories that include Rare Earth Materials, Lithium, Copper, Carbon Fiber, etc. Stocks not meeting the revenue requirements are considered after review and recognized as Pre-Revenue Disruptive Materials Companies. In the case of Lithium, stocks with associated revenue between 25-50% are also eligible as Diversified Lithium Companies. The fund uses a natural language processing algorithm to identify and rank stocks. The five highest-ranked Disruptive Materials and Pre-Revenue Disruptive Materials Companies per materials category are selected. The fund employs a modified market-cap weighting scheme for diversification. The index is reconstituted and rebalanced semi-annually.","The investment seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive Disruptive Materials Index. The fund invests at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index. The index is designed to provide exposure to companies that produce metals and other raw or composite materials that have been identified as being essential to disruptive technologies such as lithium batteries, solar panels, wind turbines, fuel cells, robotics, and 3D printers. It is non-diversified."
GDE,WisdomTree Efficient Gold Plus Equity Strategy Fund,"The fund seeks to invest, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) U.S. equity securities. The fund will invest in a representative basket of U.S. equity securities of large-capitalization companies generally weighted by market capitalization. Under normal circumstances, the fund will have approximately equal exposure to U.S.-listed gold futures contracts and U.S. equity securities. It is non-diversified.","The fund seeks to invest, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) U.S. equity securities. The fund will invest in a representative basket of U.S. equity securities of large-capitalization companies generally weighted by market capitalization. Under normal circumstances, the fund will have approximately equal exposure to U.S.-listed gold futures contracts and U.S. equity securities. It is non-diversified.","GDE is actively managed to provide leveraged exposure, in approximately equal proportion, to US-listed gold futures and US large-cap equities.

GDE aims to provide some diversification to US large-cap stocks by adding balanced exposure to long gold futures contracts. The strategy layers gold exposure on top of the US equities. For example, for every $100 invested, $90 is invested in a basket of US large-cap equities weighted by market-cap. Gold futures are also purchased to provide the equivalent $90 exposure and $10 is held as cash collateral. Based on this layering, the total accounting leverage of the strategy is enhanced to 1.8x, or in other words, for every $100 invested there is a total of $180 exposure to equities and gold futures. The cash collateral typically is invested in high-quality, short-term US money market securities or US Treasury bills. The fund obtains commodity exposure through investing in a wholly-owned Cayman Islands subsidiary.","The investment seeks total return. The fund seeks to invest, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) U.S. equity securities. The fund will invest in a representative basket of U.S. equity securities of large-capitalization companies generally weighted by market capitalization. Under normal circumstances, the fund will have approximately equal exposure to U.S.-listed gold futures contracts and U.S. equity securities. It is non-diversified."
ENFR,Alerian Energy Infrastructure ETF,"The underlying index is a composite of North American energy infrastructure companies engaged in midstream activities involving energy commodities including gathering and processing, liquefaction, pipeline transportation, rail terminaling, and storage (also known as ""midstream energy businesses""). The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. It is non-diversified.","The underlying index is a composite of North American energy infrastructure companies engaged in midstream activities involving energy commodities including gathering and processing, liquefaction, pipeline transportation, rail terminaling, and storage (also known as ""midstream energy businesses""). The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. It is non-diversified.","ENFR tracks an index of energy infrastructure companies in the US and Canada, weighted by market capitalization.

ENFR is among the first MLP ETFs to be structured as an open-end fund. This is accomplished by combining MLP exposure with MLP affiliates and other energy infrastructure companies. For RIC compliance, limited partnership units are allocated a fixed 25% of the portfolio. To be included in the underlying index, companies must have their principal office in the US or Canada and earn the majority of their cash flow from qualifying midstream activities, such as gathering and processing, liquefaction, pipeline transportation, rail terminaling, and storage. In addition, companies must meet minimum liquidity requirements for a certain period. The index is rebalanced quarterly. In all, ENFR therefore avoids the tax inefficiencies of the C-Corporation and ETN structures.","The investment seeks investment results that correspond (before fees and expenses) generally to the price and yield performance of its underlying index, the Alerian Midstream Energy Select Index. The underlying index is a composite of North American energy infrastructure companies engaged in midstream activities involving energy commodities including gathering and processing, liquefaction, pipeline transportation, rail terminaling, and storage (also known as ""midstream energy businesses""). The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. It is non-diversified."
